time,open,high,low,close,tick_volume,spread,real_volume
2025-02-12 23:00:00,2900.75,2904.33,2899.95,2903.97,2342,8,0
2025-02-13 01:00:00,2904.36,2906.42,2900.56,2905.78,1551,5,0
2025-02-13 02:00:00,2905.79,2909.09,2904.52,2906.43,2313,5,0
2025-02-13 03:00:00,2906.36,2907.34,2901.46,2906.06,4041,5,0
2025-02-13 04:00:00,2906.05,2909.11,2905.27,2908.75,3518,6,0
2025-02-13 05:00:00,2908.75,2918.07,2907.2,2916.48,3498,5,0
2025-02-13 06:00:00,2916.44,2919.15,2916.17,2918.41,2582,5,0
2025-02-13 07:00:00,2918.6,2922.71,2916.69,2917.98,3138,5,0
2025-02-13 08:00:00,2917.97,2918.92,2912.56,2915.74,4346,5,0
2025-02-13 09:00:00,2915.74,2920.38,2913.06,2914.41,3899,5,0
2025-02-13 10:00:00,2914.52,2918.1,2909.56,2911.63,4637,5,0
2025-02-13 11:00:00,2911.65,2918.26,2909.88,2915.37,3763,5,0
2025-02-13 12:00:00,2915.1,2919.46,2913.83,2917.99,2971,5,0
2025-02-13 13:00:00,2918.01,2918.28,2915.5,2917.89,3463,5,0
2025-02-13 14:00:00,2917.96,2921.32,2915.64,2917.67,4007,5,0
2025-02-13 15:00:00,2917.64,2917.88,2905.89,2908.54,5643,5,0
2025-02-13 16:00:00,2908.56,2917.32,2906.63,2915.17,5747,5,0
2025-02-13 17:00:00,2915.17,2920.95,2914.43,2920.23,5317,5,0
2025-02-13 18:00:00,2920.22,2920.81,2912.93,2913.72,4593,5,0
2025-02-13 19:00:00,2913.49,2919.25,2913.41,2919.06,4048,7,0
2025-02-13 20:00:00,2918.94,2925.38,2914.22,2924.13,4687,5,0
2025-02-13 21:00:00,2923.95,2927.37,2923.73,2926.88,3722,5,0
2025-02-13 22:00:00,2926.84,2928.96,2924.88,2928.45,3934,5,0
2025-02-13 23:00:00,2928.62,2929.5,2928.03,2928.34,1469,5,0
2025-02-14 01:00:00,2927.64,2932.37,2925.9,2931.21,1690,5,0
2025-02-14 02:00:00,2931.17,2931.53,2927.42,2927.9,2180,5,0
2025-02-14 03:00:00,2927.89,2933.9,2927.89,2929.89,4381,5,0
